t,V,I
38103.37983,2.75972953,-0.01
38163.37983,2.760348839,-0.01
38223.37983,2.760906335,-0.01
38283.37983,2.761445094,-0.01
38343.37983,2.761976442,-0.01
38403.37983,2.762504214,-0.01
38463.37983,2.763029747,-0.01
38523.37983,2.763553598,-0.01
38583.37983,2.764076052,-0.01
38643.37983,2.764597286,-0.01
38703.37983,2.765117429,-0.01
38763.37983,2.765636575,-0.01
38823.37983,2.766154803,-0.01
38883.37983,2.766672173,-0.01
38943.37983,2.767188737,-0.01
39003.37983,2.767704536,-0.01
39063.37983,2.768219605,-0.01
39123.37983,2.768733973,-0.01
39183.37983,2.769247665,-0.01
39243.37983,2.7697607,-0.01
39303.37983,2.770273085,-0.01
39363.37983,2.770784858,-0.01
39423.37983,2.771296018,-0.01
39483.37983,2.771806575,-0.01
39543.37983,2.772316538,-0.01
39603.37983,2.772825915,-0.01
39663.37983,2.773334712,-0.01
39723.37983,2.773842933,-0.01
39783.37983,2.774350585,-0.01
39843.37983,2.774857671,-0.01
39903.37983,2.775364194,-0.01
39963.37983,2.775870157,-0.01
40023.37983,2.776375564,-0.01
40083.37983,2.776880415,-0.01
40143.37983,2.777384714,-0.01
40203.37983,2.777888462,-0.01
40263.37983,2.778391661,-0.01
40323.37983,2.778894312,-0.01
40383.37983,2.779396416,-0.01
40443.37983,2.779897976,-0.01
40503.37983,2.780398991,-0.01
40563.37983,2.780899463,-0.01
40623.37983,2.781399393,-0.01
40683.37983,2.781898782,-0.01
40743.37983,2.78239763,-0.01
40803.37983,2.782895939,-0.01
40863.37983,2.783393709,-0.01
40923.37983,2.783890941,-0.01
40983.37983,2.784387636,-0.01
41043.37983,2.784883795,-0.01
41103.37983,2.785379418,-0.01
41163.37983,2.785874506,-0.01
41223.37983,2.786369059,-0.01
41283.37983,2.786863079,-0.01
41343.37983,2.787356565,-0.01
41403.37983,2.787849519,-0.01
41463.37983,2.788341942,-0.01
41523.37983,2.788833833,-0.01
41583.37983,2.789325194,-0.01
41643.37983,2.789816025,-0.01
41703.37983,2.790306327,-0.01
41763.37983,2.7907961,-0.01
41823.37983,2.791285345,-0.01
41883.37983,2.791774063,-0.01
41943.37983,2.792262254,-0.01
42003.37983,2.792749919,-0.01
42063.37983,2.793237058,-0.01
42123.37983,2.793723673,-0.01
42183.37983,2.794209763,-0.01
42243.37983,2.79469533,-0.01
42303.37983,2.795180373,-0.01
42363.37983,2.795664894,-0.01
42423.37983,2.796148893,-0.01
42483.37983,2.79663237,-0.01
42543.37983,2.797115327,-0.01
42603.37983,2.797597764,-0.01
42663.37983,2.798079682,-0.01
42723.37983,2.79856108,-0.01
42783.37983,2.799041961,-0.01
42843.37983,2.799522323,-0.01
42903.37983,2.800002168,-0.01
42963.37983,2.800481497,-0.01
43023.37983,2.80096031,-0.01
43083.37983,2.801438608,-0.01
43143.37983,2.801916391,-0.01
43203.37983,2.802393659,-0.01
43263.37983,2.802870415,-0.01
43323.37983,2.803346657,-0.01
43383.37983,2.803822387,-0.01
43443.37983,2.804297605,-0.01
43503.37983,2.804772311,-0.01
43563.37983,2.805246507,-0.01
43623.37983,2.805720194,-0.01
43683.37983,2.80619337,-0.01
43743.37983,2.806666038,-0.01
43803.37983,2.807138198,-0.01
43863.37983,2.807609849,-0.01
43923.37983,2.808080994,-0.01
43983.37983,2.808551632,-0.01
44043.37983,2.809021764,-0.01
44103.37983,2.809491391,-0.01
44163.37983,2.809960513,-0.01
44223.37983,2.810429131,-0.01
44283.37983,2.810897245,-0.01
44343.37983,2.811364856,-0.01
44403.37983,2.811831964,-0.01
44463.37983,2.812298571,-0.01
44523.37983,2.812764676,-0.01
