t,V,I
54101.4551,2.707677754,-0.0022
54161.4551,2.708038585,-0.0022
54221.4551,2.708395096,-0.0022
54281.4551,2.708750368,-0.0022
54341.4551,2.709105174,-0.0022
54401.4551,2.709459691,-0.0022
54461.4551,2.709813959,-0.0022
54521.4551,2.710167988,-0.0022
54581.4551,2.710521782,-0.0022
54641.4551,2.71087534,-0.0022
54701.4551,2.711228664,-0.0022
54761.4551,2.711581754,-0.0022
54821.4551,2.711934609,-0.0022
54881.4551,2.712287231,-0.0022
54941.4551,2.712639619,-0.0022
55001.4551,2.712991773,-0.0022
55061.4551,2.713343694,-0.0022
55121.4551,2.713695382,-0.0022
55181.4551,2.714046837,-0.0022
55241.4551,2.714398059,-0.0022
55301.4551,2.714749049,-0.0022
55361.4551,2.715099806,-0.0022
55421.4551,2.715450331,-0.0022
55481.4551,2.715800625,-0.0022
55541.4551,2.716150686,-0.0022
55601.4551,2.716500516,-0.0022
55661.4551,2.716850115,-0.0022
55721.4551,2.717199482,-0.0022
55781.4551,2.717548618,-0.0022
55841.4551,2.717897523,-0.0022
55901.4551,2.718246197,-0.0022
55961.4551,2.718594641,-0.0022
56021.4551,2.718942855,-0.0022
56081.4551,2.719290838,-0.0022
56141.4551,2.719638591,-0.0022
56201.4551,2.719986114,-0.0022
56261.4551,2.720333408,-0.0022
56321.4551,2.720680472,-0.0022
56381.4551,2.721027306,-0.0022
56441.4551,2.721373912,-0.0022
56501.4551,2.721720288,-0.0022
56561.4551,2.722066435,-0.0022
56621.4551,2.722412354,-0.0022
56681.4551,2.722758044,-0.0022
56741.4551,2.723103505,-0.0022
56801.4551,2.723448738,-0.0022
56861.4551,2.723793743,-0.0022
56921.4551,2.72413852,-0.0022
56981.4551,2.72448307,-0.0022
57041.4551,2.724827391,-0.0022
57101.4551,2.725171486,-0.0022
57161.4551,2.725515352,-0.0022
57221.4551,2.725858992,-0.0022
57281.4551,2.726202405,-0.0022
57341.4551,2.72654559,-0.0022
57401.4551,2.726888549,-0.0022
57461.4551,2.727231282,-0.0022
57521.4551,2.727573788,-0.0022
57581.4551,2.727916067,-0.0022
57641.4551,2.728258121,-0.0022
57701.4551,2.728599949,-0.0022
57761.4551,2.728941551,-0.0022
57821.4551,2.729282927,-0.0022
57881.4551,2.729624078,-0.0022
57941.4551,2.729965003,-0.0022
58001.4551,2.730305704,-0.0022
58061.4551,2.730646179,-0.0022
58121.4551,2.730986429,-0.0022
58181.4551,2.731326455,-0.0022
58241.4551,2.731666256,-0.0022
58301.4551,2.732005833,-0.0022
58361.4551,2.732345185,-0.0022
58421.4551,2.732684313,-0.0022
58481.4551,2.733023218,-0.0022
58541.4551,2.733361898,-0.0022
58601.4551,2.733700355,-0.0022
58661.4551,2.734038588,-0.0022
58721.4551,2.734376598,-0.0022
58781.4551,2.734714385,-0.0022
58841.4551,2.735051949,-0.0022
58901.4551,2.735389289,-0.0022
58961.4551,2.735726407,-0.0022
59021.4551,2.736063303,-0.0022
59081.4551,2.736399976,-0.0022
59141.4551,2.736736426,-0.0022
59201.4551,2.737072655,-0.0022
59261.4551,2.737408661,-0.0022
59321.4551,2.737744446,-0.0022
59381.4551,2.738080009,-0.0022
59441.4551,2.73841535,-0.0022
59501.4551,2.73875047,-0.0022
59561.4551,2.739085368,-0.0022
59621.4551,2.739420046,-0.0022
59681.4551,2.739754502,-0.0022
59741.4551,2.740088738,-0.0022
59801.4551,2.740422753,-0.0022
59861.4551,2.740756548,-0.0022
59921.4551,2.741090122,-0.0022
59981.4551,2.741423476,-0.0022
60041.4551,2.74175661,-0.0022
60101.4551,2.742089523,-0.0022
60161.4551,2.742422218,-0.0022
60221.4551,2.742754692,-0.0022
60281.4551,2.743086947,-0.0022
60341.4551,2.743418983,-0.0022
60401.4551,2.743750799,-0.0022
60461.4551,2.744082396,-0.0022
60521.4551,2.744413775,-0.0022
60581.4551,2.744744935,-0.0022
60641.4551,2.745075876,-0.0022
60701.4551,2.745406599,-0.0022
60761.4551,2.745737103,-0.0022
60821.4551,2.746067389,-0.0022
60881.4551,2.746397457,-0.0022
60941.4551,2.746727308,-0.0022
61001.4551,2.74705694,-0.0022
61061.4551,2.747386355,-0.0022
61121.4551,2.747715553,-0.0022
61181.4551,2.748044533,-0.0022
61241.4551,2.748373296,-0.0022
61301.4551,2.748701842,-0.0022
61361.4551,2.749030171,-0.0022
61421.4551,2.749358284,-0.0022
61481.4551,2.74968618,-0.0022
61541.4551,2.75001386,-0.0022
61601.4551,2.750341323,-0.0022
61661.4551,2.75066857,-0.0022
61721.4551,2.750995601,-0.0022
61781.4551,2.751322417,-0.0022
61841.4551,2.751649016,-0.0022
61901.4551,2.7519754,-0.0022
61961.4551,2.752301569,-0.0022
62021.4551,2.752627523,-0.0022
62081.4551,2.752953261,-0.0022
62141.4551,2.753278784,-0.0022
62201.4551,2.753604093,-0.0022
62261.4551,2.753929187,-0.0022
62321.4551,2.754254066,-0.0022
62381.4551,2.754578731,-0.0022
62441.4551,2.754903182,-0.0022
62501.4551,2.755227418,-0.0022
62561.4551,2.755551441,-0.0022
62621.4551,2.75587525,-0.0022
62681.4551,2.756198845,-0.0022
62741.4551,2.756522227,-0.0022
62801.4551,2.756845395,-0.0022
62861.4551,2.75716835,-0.0022
62921.4551,2.757491092,-0.0022
62981.4551,2.757813621,-0.0022
63041.4551,2.758135937,-0.0022
63101.4551,2.75845804,-0.0022
63161.4551,2.758779931,-0.0022
63221.4551,2.75910161,-0.0022
63281.4551,2.759423076,-0.0022
63341.4551,2.75974433,-0.0022
63401.4551,2.760065373,-0.0022
63461.4551,2.760386203,-0.0022
63521.4551,2.760706822,-0.0022
63581.4551,2.761027229,-0.0022
63641.4551,2.761347425,-0.0022
63701.4551,2.761667409,-0.0022
63761.4551,2.761987183,-0.0022
63821.4551,2.762306745,-0.0022
63881.4551,2.762626097,-0.0022
63941.4551,2.762945238,-0.0022
64001.4551,2.763264168,-0.0022
64061.4551,2.763582888,-0.0022
64121.4551,2.763901398,-0.0022
64181.4551,2.764219698,-0.0022
64241.4551,2.764537788,-0.0022
64301.4551,2.764855667,-0.0022
64361.4551,2.765173338,-0.0022
64421.4551,2.765490798,-0.0022
64481.4551,2.765808049,-0.0022
64541.4551,2.766125091,-0.0022
64601.4551,2.766441924,-0.0022
64661.4551,2.766758548,-0.0022
64721.4551,2.767074963,-0.0022
64781.4551,2.767391169,-0.0022
64841.4551,2.767707166,-0.0022
64901.4551,2.768022956,-0.0022
